gene	SRR17276325	SRR17276326	SRR17276331	SRR17276332	SRR17276333	SRR17276334	SRR17276335	SRR17276336	SRR17276337	SRR17276338	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000142611	9.37794	9.95732	18.17981	7.69973	42.1436	38.73937	9.6863	27.72669	13.04317	8.68281	152.20235	0.6123	0.25082	2.44123	0.01464	0.47219
ENSG00000157911	105.98844	126.85351	83.06774	94.9633	71.87597	71.25443	90.22404	75.60714	99.33769	96.32237	771.34643	-0.07392	0.1471	-0.50256	0.61527	0.99924
ENSG00000142655	18.22506	24.00669	16.87459	17.64521	18.82141	18.11553	20.78744	22.71879	19.33184	19.55661	164.6892	0.03268	0.18887	0.17301	0.86264	0.99924
ENSG00000149527	6.01604	8.1841	3.4495	4.3311	2.72774	4.08761	5.22407	7.08435	3.61016	4.78772	41.51082	0.10542	0.33118	0.31831	0.75025	NA
ENSG00000171621	4.42356	4.91046	11.65372	6.57685	5.18271	6.59591	4.89757	7.08435	4.77473	5.4369	51.67069	0.29672	0.29347	1.01109	0.31197	NA
ENSG00000272235	2.83108	1.09121	0.74584	0.16041	4.09161	3.53021	0.43534	1.58787	1.04811	0.64918	13.15461	0.40107	0.61975	0.64715	0.51754	NA
ENSG00000287727	1.59248	0.68201	0.27969	0.48123	0.95471	0.7432	0.3265	0.61072	1.04811	0.1623	5.68221	0.13568	0.83856	0.1618	0.87146	NA
ENSG00000173614	13.97844	15.14058	16.12875	15.23904	9.54709	9.56872	16.86939	10.13795	16.65333	20.12464	121.65912	-0.20832	0.22423	-0.92905	0.35287	0.99924
ENSG00000204624	15.74786	2.18243	22.09546	11.38918	6.2738	4.92371	7.1831	6.96221	6.63804	8.11477	76.92848	-0.47509	0.3838	-1.23787	0.21577	0.99924
ENSG00000142606	7.43158	24.41589	8.48391	8.02055	7.91045	7.43201	9.03329	7.69507	12.81025	7.54674	84.67321	0.39819	0.31034	1.28306	0.19947	0.99924
ENSG00000171729	8.31629	18.00501	11.2808	10.58713	10.5018	6.78171	16.10755	12.94727	10.71403	10.22462	97.21575	0.01008	0.27539	0.03661	0.97079	0.99924
ENSG00000037637	24.06415	26.46192	33.4695	30.6385	41.87082	42.73408	33.30344	45.31543	34.0054	32.37795	288.36147	0.11826	0.15636	0.75634	0.44945	0.99924
ENSG00000159423	8.13935	11.32133	24.89235	29.51562	22.0947	20.99544	18.28424	13.43584	19.56475	21.82874	161.05682	-0.15511	0.20683	-0.74996	0.45328	0.99924
ENSG00000157916	177.29618	186.73382	118.68153	131.53701	99.42615	95.50137	125.81301	102.1124	126.35567	125.37326	1083.71148	-0.12638	0.13405	-0.94282	0.34577	0.99924
ENSG00000157881	18.93283	24.8251	35.9867	36.09247	27.82296	32.42216	30.0384	28.21527	29.46358	34.0009	251.48914	0.01071	0.17798	0.06017	0.95202	0.99924
ENSG00000048707	155.70922	148.67777	176.29754	152.71126	187.94134	177.43932	161.18431	168.19231	178.76125	163.91844	1402.37951	0.00626	0.11635	0.05384	0.95707	0.99924
ENSG00000180758	0.70777	2.18243	2.05106	1.76452	2.18219	1.7651	2.61203	0.97715	2.32914	3.00247	16.62425	-0.15646	0.52559	-0.29769	0.76594	NA
ENSG00000184677	50.42855	43.78492	79.8047	67.53303	57.00978	57.87681	50.3905	56.18625	56.9474	62.15917	490.31534	-0.02357	0.14007	-0.16824	0.86639	0.99924
ENSG00000288398	6.01604	11.45774	10.25528	11.54959	7.77406	10.21902	16.43405	11.72583	13.97482	16.3107	98.26292	0.01679	0.26702	0.06288	0.94986	0.99924
