FIELD	SRR17276338	SRR17276337	SRR17276336	SRR17276335	SRR17276334	SRR17276333	SRR17276332	SRR17276331	SRR17276330	SRR17276329	SRR17276328	SRR17276327	SRR17276326	SRR17276325	SRR17276324	SRR17276323
Stranded_Rule_Code	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
READ_PAIR_OK	32645591	27223953	27069286	24489036	36764819	27469228	17386201	31714149	27328117	27601741	45620417	26715474	38222121	33881314	48038576	17596149
TOTAL_READ_PAIRS	45675816	35214728	33107248	33557247	45958557	33361327	24981775	43655759	33476428	33599279	58948226	35012012	52446419	44705218	59963013	23358282
DROPPED_NOT_PROPER_PAIR	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
DROPPED_READ_FAILS_VENDOR_QC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DROPPED_MARKED_NOT_VALID	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DROPPED_CHROMS_MISMATCH	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
DROPPED_PAIR_STRANDS_MISMATCH	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
DROPPED_IGNORED_CHROMOSOME	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DROPPED_NOT_UNIQUE_ALIGNMENT	13030225	7990775	6037962	9068211	9193738	5892099	7595574	11941610	6148311	5997538	13327809	8296538	14224298	10823904	11924437	5762133
DROPPED_NO_ALN_BLOCKS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DROPPED_NOT_MARKED_RG	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
KEPT_NOT_UNIQUE_ALIGNMENT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
minObservedReadLength	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
maxObservedReadLength	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76
maxLegalPhredScore	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41
IS_SINGLE_END	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PREALIGNMENT_READ_CT	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
BENCHMARK_MinutesOnSamIteration	39.17	32.87	33	29.42	42.68	31.37	21.43	37.6	32	31.38	53.45	33.45	46.95	39.15	62.73	24.15
BENCHMARK_MinutesPerMillionReads	0.86	0.93	1	0.88	0.93	0.94	0.86	0.86	0.96	0.93	0.91	0.96	0.9	0.88	1.05	1.03
BENCHMARK_MinutesPerMillionGoodReads	1.2	1.21	1.22	1.2	1.16	1.14	1.23	1.19	1.17	1.14	1.17	1.25	1.23	1.16	1.31	1.37
ReadPairs_AmbigGene	1495323	1007869	816637	1023478	1206275	767409	842025	1491933	842857	765915	2175753	1246802	2444770	1827518	2220145	955861
ReadPairs_UniqueGene	13346842	10235531	8977497	9568955	12030541	8361407	7263092	13689472	9527048	8286259	21738694	12193486	22338018	16545987	23358962	8856447
ReadPairs_UniqueGene_CDS	7797055	5842166	5107206	5570634	6810789	4641934	4299506	8107146	5427588	4588884	12508298	6950499	13380180	9585701	13590010	5232286
ReadPairs_UniqueGene_UTR	5549787	4393365	3870291	3998321	5219752	3719473	2963586	5582326	4099460	3697375	9230396	5242987	8957838	6960286	9768952	3624161
ReadPairs_NoGene	17803426	15980553	17275152	13896603	23528003	18340412	9281084	16532744	16958212	18549567	21705970	13275186	13439333	15507809	22459469	7783841
ReadPairs_NoGene_Intron	4412948	5014694	5731095	3524854	8048123	6776468	2418224	4439658	5650547	6856164	9512476	6323344	5242096	7726033	11301934	3672275
ReadPairs_NoGene_OneKbFromGene	2003347	1301083	1239744	1441094	1700890	1109910	999933	1633263	1187479	1100717	1287819	673778	1026304	837699	1148400	446746
ReadPairs_NoGene_TenKbFromGene	4001411	3040908	3175697	3075179	4229534	3023150	2044999	3669240	3073730	3025382	3495525	1940953	2432810	2211122	3068224	1178132
ReadPairs_NoGene_MiddleOfNowhere	7385720	6623868	7128616	5855476	9549456	7430884	3817928	6790583	7046456	7567304	7410150	4337111	4738123	4732955	6940911	2486688
Genes_Total	63140	63140	63140	63140	63140	63140	63140	63140	63140	63140	63140	63140	63140	63140	63140	63140
Genes_WithZeroCounts	32982	32346	31444	32931	30395	31432	35840	32273	31534	30773	28859	30955	30957	30379	29661	34138
Genes_WithNonzeroCounts	30158	30794	31696	30209	32745	31708	27300	30867	31606	32367	34281	32185	32183	32761	33479	29002
AVG_GC	0.49	0.47	0.47	0.49	0.46	0.46	0.49	0.48	0.47	0.46	0.46	0.46	0.48	0.46	0.46	0.47
AggregateGenes	57428	57428	57428	57428	57428	57428	57428	57428	57428	57428	57428	57428	57428	57428	57428	57428
AggregateGenes_NoReads	28829	28184	27345	28741	26355	27309	31527	28126	27422	26707	24917	26899	26902	26379	25678	29898
AggregateGenes_WithReads	28599	29244	30083	28687	31073	30119	25901	29302	30006	30721	32511	30529	30526	31049	31750	27530
SpliceLoci	584218	569883	573248	576059	586723	567620	549035	584733	572987	571500	586731	550471	573619	559131	582313	524591
