gene	SRR17276323	SRR17276324	SRR17276325	SRR17276326	SRR17276327	SRR17276328	SRR17276329	SRR17276330	SRR17276331	SRR17276332	SRR17276333	SRR17276334	SRR17276335	SRR17276336	SRR17276337	SRR17276338
ENSG00000228037	0	6	2	3	2	3	1	0	3	1	3	6	3	1	1	1
ENSG00000142611	38	145	53	73	23	48	341	218	195	48	309	417	89	227	112	107
ENSG00000284616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157911	348	806	599	930	589	1177	567	716	891	592	527	767	829	619	853	1187
ENSG00000260972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224340	1	2	3	0	1	3	5	3	1	0	3	5	1	1	0	0
ENSG00000226374	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142655	41	154	103	176	94	144	143	143	181	110	138	195	191	186	166	241
ENSG00000232596	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000235054	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000231510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000149527	20	51	34	60	58	75	21	40	37	27	20	44	48	58	31	59
ENSG00000284739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171621	12	23	25	36	56	103	31	37	125	41	38	71	45	58	41	67
ENSG00000272235	9	45	16	8	11	6	23	20	8	1	30	38	4	13	9	8
ENSG00000284694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224387	2	1	0	0	0	0	0	0	2	0	0	1	0	0	0	1
ENSG00000142583	0	8	0	1	0	0	3	6	0	2	2	4	2	4	1	0
ENSG00000284674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287727	2	10	9	5	13	8	16	3	3	3	7	8	3	5	9	2
ENSG00000286448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226457	5	12	7	3	6	8	2	1	3	5	5	5	1	6	3	3
ENSG00000173614	30	83	79	111	59	119	73	87	173	95	70	103	155	83	143	248
ENSG00000215720	1	1	1	0	1	4	3	1	0	0	3	1	1	0	0	0
ENSG00000241326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233623	0	1	0	1	0	3	0	0	1	0	0	0	0	1	1	0
ENSG00000204624	40	22	89	16	82	182	54	84	237	71	46	53	66	57	57	100
ENSG00000142606	72	173	42	179	39	68	57	66	91	50	58	80	83	63	110	93
ENSG00000225931	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000171729	19	97	47	132	89	189	58	110	121	66	77	73	148	106	92	126
ENSG00000229393	0	1	1	0	2	1	0	0	2	0	0	1	1	0	2	1
ENSG00000037637	85	252	136	194	138	278	310	324	359	191	307	460	306	371	292	399
ENSG00000287586	2	3	0	0	2	3	7	8	3	2	3	3	0	0	2	0
ENSG00000159423	44	130	46	83	52	112	182	140	267	184	162	226	168	110	168	269
ENSG00000227169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157916	498	1355	1002	1369	788	1562	765	885	1273	820	729	1028	1156	836	1085	1545
ENSG00000157881	67	163	107	182	154	254	238	218	386	225	204	349	276	231	253	419
ENSG00000238290	0	0	0	2	0	0	0	1	2	0	1	0	0	0	2	0
ENSG00000225387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000048707	496	1388	880	1090	829	1776	1372	1622	1891	952	1378	1910	1481	1377	1535	2020
ENSG00000225196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162444	0	2	0	2	1	0	2	0	1	1	1	1	1	2	0	1
ENSG00000279625	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000180758	4	15	4	16	6	13	11	22	22	11	16	19	24	8	20	37
